JobTypeFormAnswerId,JobTypeFormQuestionId,Description,CreatedOn,CreatedBy,StatusId,ModifiedOn,ModifiedBy,LinkedJobTypeId,SortOrder,ColorCodeId,ActionsRequired,,,,,,,,,,,,,,
1648,690,17,23/7/2021 5:44,257325,1,23/7/2021 5:52,0,0,17,0,NULL,,,,,,,,,,,,,,
1649,690,18,23/7/2021 5:44,257325,1,23/7/2021 5:52,0,0,18,0,NULL,,,,,,,,,,,,,,
1650,690,19,23/7/2021 5:44,257325,1,23/7/2021 5:52,0,0,19,0,NULL,,,,,,,,,,,,,,
1651,690,20,23/7/2021 5:44,257325,1,23/7/2021 5:52,0,0,20,0,NULL,,,,,,,,,,,,,,
1652,690,21,23/7/2021 5:44,257325,1,23/7/2021 5:52,0,0,21,0,NULL,,,,,,,,,,,,,,
1653,690,22,23/7/2021 5:44,257325,1,23/7/2021 5:52,0,0,22,0,NULL,,,,,,,,,,,,,,
1654,690,23,23/7/2021 5:44,257325,1,23/7/2021 5:52,0,0,23,0,NULL,,,,,,,,,,,,,,
1655,690,24,23/7/2021 5:44,257325,1,23/7/2021 5:52,0,0,24,0,NULL,,,,,,,,,,,,,,
1656,690,25,23/7/2021 5:44,257325,1,23/7/2021 5:52,0,0,25,0,NULL,,,,,,,,,,,,,,
1657,690,26,23/7/2021 5:44,257325,1,23/7/2021 5:52,0,0,26,0,NULL,,,,,,,,,,,,,,
1658,690,27,23/7/2021 5:44,257325,1,23/7/2021 5:52,0,0,27,0,NULL,,,,,,,,,,,,,,
1659,690,28,23/7/2021 5:44,257325,1,23/7/2021 5:52,0,0,28,0,NULL,,,,,,,,,,,,,,
1660,690,29,23/7/2021 5:48,257325,1,23/7/2021 5:52,0,0,29,0,NULL,,,,,,,,,,,,,,
1661,690,30,23/7/2021 5:48,257325,1,23/7/2021 5:52,0,0,30,0,NULL,,,,,,,,,,,,,,
1662,690,31,23/7/2021 5:48,257325,1,23/7/2021 5:52,0,0,31,0,NULL,,,,,,,,,,,,,,
1663,690,32,23/7/2021 5:48,257325,1,23/7/2021 5:52,0,0,32,0,NULL,,,,,,,,,,,,,,
1664,690,33,23/7/2021 5:48,257325,1,23/7/2021 5:52,0,0,33,0,NULL,,,,,,,,,,,,,,
1665,690,34,23/7/2021 5:48,257325,1,23/7/2021 5:52,0,0,34,0,NULL,,,,,,,,,,,,,,
1666,690,35,23/7/2021 5:48,257325,1,23/7/2021 5:52,0,0,35,0,NULL,,,,,,,,,,,,,,
1667,690,36,23/7/2021 5:48,257325,1,23/7/2021 5:52,0,0,36,0,NULL,,,,,,,,,,,,,,
1668,690,37,23/7/2021 5:48,257325,1,23/7/2021 5:52,0,0,37,0,NULL,,,,,,,,,,,,,,
1669,690,38,23/7/2021 5:49,257325,1,23/7/2021 5:52,0,0,38,0,NULL,,,,,,,,,,,,,,
1670,690,39,23/7/2021 5:49,257325,1,23/7/2021 5:52,0,0,39,0,NULL,,,,,,,,,,,,,,
1671,690,40,23/7/2021 5:49,257325,1,23/7/2021 5:52,0,0,40,0,NULL,,,,,,,,,,,,,,
1672,690,41,23/7/2021 5:49,257325,1,23/7/2021 5:52,0,0,41,0,NULL,,,,,,,,,,,,,,
1673,690,42,23/7/2021 5:49,257325,1,23/7/2021 5:52,0,0,42,0,NULL,,,,,,,,,,,,,,
1674,690,43,23/7/2021 5:49,257325,1,23/7/2021 5:52,0,0,43,0,NULL,,,,,,,,,,,,,,
1675,690,44,23/7/2021 5:49,257325,1,23/7/2021 5:52,0,0,44,0,NULL,,,,,,,,,,,,,,
1676,690,45,23/7/2021 5:49,257325,1,23/7/2021 5:52,0,0,45,0,NULL,,,,,,,,,,,,,,
1677,690,46,23/7/2021 5:49,257325,1,23/7/2021 5:52,0,0,46,0,NULL,,,,,,,,,,,,,,
1678,690,47,23/7/2021 5:49,257325,1,23/7/2021 5:52,0,0,47,0,NULL,,,,,,,,,,,,,,
1679,690,48,23/7/2021 5:50,257325,1,23/7/2021 5:52,0,0,48,0,NULL,,,,,,,,,,,,,,
1680,690,49,23/7/2021 5:51,257325,1,23/7/2021 5:52,0,0,49,0,NULL,,,,,,,,,,,,,,
1681,690,50-75,23/7/2021 5:51,257325,1,23/7/2021 5:52,0,0,50,0,NULL,,,,,,,,,,,,,,
1682,690,76-100,23/7/2021 5:51,257325,1,23/7/2021 5:52,0,0,51,0,NULL,,,,,,,,,,,,,,
1683,690,100+,23/7/2021 5:52,257325,1,23/7/2021 5:52,0,0,52,0,NULL,,,,,,,,,,,,,,
1713,697,Yes,27/7/2021 5:43,257573,1,27/7/2021 5:44,0,0,1,0,NULL,,,,,,,,,,,,,,
1714,697,No,27/7/2021 5:43,257573,1,27/7/2021 5:44,0,0,2,0,NULL,,,,,,,,,,,,,,
1715,698,Yes,27/7/2021 5:44,257573,1,27/7/2021 5:44,0,0,1,0,NULL,,,,,,,,,,,,,,
1716,698,No,27/7/2021 5:44,257573,1,27/7/2021 5:44,0,0,2,0,NULL,,,,,,,,,,,,,,
1717,699,Yes,27/7/2021 5:44,257573,1,27/7/2021 5:44,0,0,1,0,NULL,,,,,,,,,,,,,,
1718,699,No,27/7/2021 5:44,257573,1,27/7/2021 5:44,0,0,2,0,NULL,,,,,,,,,,,,,,
1719,700,Yes,27/7/2021 5:45,257573,1,27/7/2021 5:45,0,0,1,0,NULL,,,,,,,,,,,,,,
1720,700,No,27/7/2021 5:45,257573,1,27/7/2021 5:45,0,0,2,0,NULL,,,,,,,,,,,,,,
1721,701,Yes,27/7/2021 5:46,257573,1,27/7/2021 5:46,0,0,1,0,NULL,,,,,,,,,,,,,,
1722,701,No,27/7/2021 5:46,257573,1,27/7/2021 5:46,0,0,2,0,NULL,,,,,,,,,,,,,,
1723,702,Yes,27/7/2021 5:46,257573,1,27/7/2021 5:47,0,0,1,0,NULL,,,,,,,,,,,,,,
1724,702,No,27/7/2021 5:46,257573,1,27/7/2021 5:47,0,0,2,0,NULL,,,,,,,,,,,,,,
1725,708,Yes,27/7/2021 21:28,257325,1,27/7/2021 21:28,0,0,1,0,NULL,,,,,,,,,,,,,,
1726,708,No,27/7/2021 21:28,257325,1,27/7/2021 21:28,0,0,2,0,NULL,,,,,,,,,,,,,,
1727,711,Yes,3/9/2021 6:17,6808,1,3/9/2021 6:17,0,0,1,0,NULL,,,,,,,,,,,,,,
1728,711,No,3/9/2021 6:17,6808,1,3/9/2021 6:17,0,0,2,0,NULL,,,,,,,,,,,,,,
1729,714,Yes,3/9/2021 6:23,6808,1,3/9/2021 6:23,0,0,1,0,NULL,,,,,,,,,,,,,,
1730,714,No,3/9/2021 6:23,6808,1,3/9/2021 6:23,0,0,2,0,NULL,,,,,,,,,,,,,,
1733,719,Yes,3/9/2021 6:47,6808,1,3/9/2021 6:47,0,0,1,0,NULL,,,,,,,,,,,,,,
1734,719,No,3/9/2021 6:47,6808,1,3/9/2021 6:47,0,0,2,0,NULL,,,,,,,,,,,,,,
1735,724,Yes,3/9/2021 6:53,6808,1,3/9/2021 6:53,0,0,1,0,NULL,,,,,,,,,,,,,,
1736,724,No,3/9/2021 6:53,6808,1,3/9/2021 6:53,0,0,2,0,NULL,,,,,,,,,,,,,,
1738,728,Yes,8/10/2021 6:23,6808,1,8/10/2021 6:23,0,0,1,0,NULL,,,,,,,,,,,,,,
1739,728,No,8/10/2021 6:23,6808,1,8/10/2021 6:23,0,0,2,0,NULL,,,,,,,,,,,,,,
1740,728,N/A,8/10/2021 6:23,6808,1,8/10/2021 6:23,0,0,3,0,NULL,,,,,,,,,,,,,,
1741,730,Yes,8/10/2021 6:25,6808,1,8/10/2021 6:25,0,0,1,0,NULL,,,,,,,,,,,,,,
1742,730,No,8/10/2021 6:25,6808,1,8/10/2021 6:25,0,0,2,0,NULL,,,,,,,,,,,,,,
1743,730,N/A,8/10/2021 6:25,6808,1,8/10/2021 6:25,0,0,3,0,NULL,,,,,,,,,,,,,,
1744,729,Yes,8/10/2021 6:26,6808,1,8/10/2021 6:26,0,0,1,0,NULL,,,,,,,,,,,,,,
1745,729,No,8/10/2021 6:26,6808,1,8/10/2021 6:26,0,0,2,0,NULL,,,,,,,,,,,,,,
1746,729,N/A,8/10/2021 6:26,6808,1,8/10/2021 6:26,0,0,3,0,NULL,,,,,,,,,,,,,,
1747,731,Yes,14/11/2021 10:33,6808,1,14/11/2021 10:33,0,0,1,0,NULL,,,,,,,,,,,,,,
1748,731,No,14/11/2021 10:33,6808,1,14/11/2021 10:33,0,0,2,0,NULL,,,,,,,,,,,,,,
1749,732,Yes,14/11/2021 10:48,6808,1,14/11/2021 10:48,0,0,1,0,NULL,,,,,,,,,,,,,,
1750,732,No,14/11/2021 10:48,6808,1,14/11/2021 10:48,0,0,2,0,NULL,,,,,,,,,,,,,,
1751,732,N/A,14/11/2021 10:48,6808,1,14/11/2021 10:48,0,0,3,0,NULL,,,,,,,,,,,,,,
1752,733,Yes,14/11/2021 10:51,6808,1,14/11/2021 10:51,0,0,1,0,NULL,,,,,,,,,,,,,,
1753,733,No,14/11/2021 10:51,6808,1,14/11/2021 10:51,0,0,2,0,NULL,,,,,,,,,,,,,,
1754,734,Yes,14/11/2021 10:55,6808,1,14/11/2021 10:56,0,0,1,0,NULL,,,,,,,,,,,,,,
1755,734,No,14/11/2021 10:55,6808,1,14/11/2021 10:56,0,0,2,0,NULL,,,,,,,,,,,,,,
1756,735,Yes,14/11/2021 10:56,6808,1,14/11/2021 10:57,0,0,1,0,NULL,,,,,,,,,,,,,,
1757,735,No,14/11/2021 10:56,6808,1,14/11/2021 10:57,0,0,2,0,NULL,,,,,,,,,,,,,,
1758,736,Yes,14/11/2021 11:13,6808,1,14/11/2021 11:13,0,0,1,0,NULL,,,,,,,,,,,,,,
1759,736,No,14/11/2021 11:13,6808,1,14/11/2021 11:13,0,0,2,0,NULL,,,,,,,,,,,,,,
